geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os04g31760	265	341	82	66	10.14796266	12.81145261	3.109343673	2.559184634	-1.992713739	2.844214651	5.96E-08	9.29E-06		
LOC_Os04g46400	17	21	130	95	0.651001378	0.788975088	4.929447286	3.683674853	2.593975052	1.373324384	6.01E-08	9.29E-06		
LOC_Os05g50570	24	8	123	120	0.919060769	0.300561938	4.664015509	4.653062972	2.943456136	1.441338089	6.52E-08	9.90E-06		
LOC_Os06g10210	179	295	684	867	6.854661568	11.08322147	25.93647649	33.61837997	1.758477188	4.28460289	6.53E-08	9.90E-06		
LOC_Os02g02210	12	85	486	430	0.459530384	3.193470592	18.42854908	16.67347565	3.293044967	3.29084849	6.55E-08	9.90E-06		
LOC_Os09g38830	1	2	33	27	0.038294199	0.075140485	1.251321234	1.046939169	4.248571649	-0.560258824	6.68E-08	1.00E-05		
LOC_Os10g25040	1028	2178	6007	5736	39.36643627	81.82798765	227.7783834	222.4164101	1.921569513	7.160987315	7.00E-08	1.04E-05		
LOC_Os05g33130	80	64	259	306	3.063535896	2.404495505	9.820975746	11.86531058	2.008178252	2.782841315	7.20E-08	1.07E-05		
LOC_Os01g09260	4	7	65	44	0.153176795	0.262991696	2.464723643	1.70612309	3.315694517	0.289757864	7.50E-08	1.10E-05		
LOC_Os08g04350	13	47	196	210	0.497824583	1.765801386	7.432089754	8.142860201	2.806014956	2.184011836	9.79E-08	1.43E-05		
LOC_Os10g39680	809	909	2439	2147	30.98000675	34.15135022	92.48401485	83.25105167	1.45444544	5.915097103	1.01E-07	1.46E-05		
LOC_Os05g05100	10	11	74	73	0.382941987	0.413272665	2.80599307	2.830613308	2.83146294	0.752984644	1.08E-07	1.55E-05		
LOC_Os05g02310	174	361	1204	802	6.663190575	13.56285746	45.65426563	31.09797086	1.948779922	4.604018952	1.09E-07	1.56E-05		
